Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Year,Item_Type_New,Outlet,Item
FDW12,8.315,1,0.035399923,0,144.5444,OUT027,1985,1,2,3,4064.0432,28,Food,5,1
NCB30,14.6,0,0.025698134,9,196.5084,OUT035,2004,2,1,1,1587.2672,9,Non-Consumable,6,2
FDC37,15.5,0,0.057556998,0,107.6938,OUT019,1985,2,0,0,214.3876,28,Food,4,1
FDR28,13.85,1,0.025896485,5,165.021,OUT046,1997,2,0,1,4078.025,16,Food,8,1
NCD06,13,0,0.099887103,9,45.906,OUT017,2007,2,1,1,838.908,6,Non-Consumable,2,2
FDV10,7.645,1,0.066693437,13,42.3112,OUT035,2004,2,1,1,1065.28,9,Food,6,1
DRJ59,11.65,0,0.019356132,7,39.1164,OUT013,1987,0,2,1,308.9312,26,Drinks,1,0
FDE51,5.925,1,0.161466534,4,45.5086,OUT010,1998,2,2,0,178.4344,15,Food,0,1
FDC14,14.5,1,0.072221801,3,43.6454,OUT019,1985,2,0,0,125.8362,28,Food,4,1
FDV38,19.25,0,0.170348551,4,55.7956,OUT010,1998,2,2,0,163.7868,15,Food,0,1
NCS17,18.6,0,0.080829372,8,96.4436,OUT018,2009,1,2,2,2741.7644,4,Non-Consumable,3,2
FDP33,18.7,0,0.102678314,13,256.6672,OUT018,2009,1,2,2,3068.0064,4,Food,3,1
FDO23,17.85,0,0.164846377,1,93.1436,OUT045,2002,2,1,1,2174.5028,11,Food,7,1
DRH01,17.5,0,0.097904029,14,174.8738,OUT046,1997,2,0,1,2085.2856,16,Drinks,8,0
NCX29,10,0,0.089291137,8,146.7102,OUT049,1999,1,0,1,3791.0652,14,Non-Consumable,9,2
FDV20,20.2,1,0.059511812,6,128.0678,OUT027,1985,1,2,3,2797.6916,28,Food,5,1
DRZ11,8.85,1,0.113123893,14,122.5388,OUT018,2009,1,2,2,1609.9044,4,Drinks,3,0
FDX10,6.385,1,0.123111453,13,36.9874,OUT027,1985,1,2,3,388.1614,28,Food,5,1
FDB34,15.25,0,0.026480954,13,87.6198,OUT027,1985,1,2,3,2180.495,28,Food,5,1
FDU02,13.35,0,0.102511504,4,230.6352,OUT046,1997,2,0,1,3435.528,16,Food,8,1
FDK43,9.8,0,0.02681843,10,126.002,OUT013,1987,0,2,1,2150.534,26,Food,1,1
FDA46,13.6,0,0.117818348,13,192.9136,OUT049,1999,1,0,1,2527.3768,14,Food,9,1
FDC02,21.35,0,0.069102831,3,259.9278,OUT018,2009,1,2,2,6768.5228,4,Food,3,1
FDL50,12.15,1,0.042277867,3,126.5046,OUT013,1987,0,2,1,373.5138,26,Food,1,1
FDM39,6.42,0,0.089498926,4,178.1002,OUT010,1998,2,2,0,358.2004,15,Food,0,1
NCP05,19.6,0,0.028135431,8,153.3024,OUT045,2002,2,1,1,2428.8384,11,Non-Consumable,7,2
FDV49,10,0,0.025879577,3,265.2226,OUT045,2002,2,1,1,5815.0972,11,Food,7,1
FDL12,15.85,1,0.121632721,0,60.622,OUT046,1997,2,0,1,2576.646,16,Food,8,1
FDS02,10.195,1,0.255394896,4,196.8794,OUT019,1985,2,0,0,780.3176,28,Food,4,1
NCL17,7.39,0,0.067779712,8,143.8812,OUT046,1997,2,0,1,3134.5864,16,Non-Consumable,8,2
FDM40,10.195,0,0.159803853,5,141.5154,OUT013,1987,0,2,1,850.8924,26,Food,1,1
FDR13,9.895,1,0.028696932,3,117.0492,OUT013,1987,0,2,1,810.9444,26,Food,1,1
FDA43,10.895,0,0.065041581,6,196.3794,OUT017,2007,2,1,1,3121.2704,6,Food,2,1
NCP18,12.15,0,0.028760013,9,151.4708,OUT017,2007,2,1,1,4815.0656,6,Non-Consumable,2,2
FDK21,7.905,0,0.010053105,13,249.0408,OUT018,2009,1,2,2,6258.52,4,Food,3,1
NCX54,9.195,0,0.048157338,9,106.1622,OUT045,2002,2,1,1,2117.244,11,Non-Consumable,7,2
DRK35,8.365,0,0.071958197,7,38.0506,OUT049,1999,1,0,1,796.9626,14,Drinks,9,0
FDY21,15.1,0,0.173481304,13,194.511,OUT046,1997,2,0,1,4910.275,16,Food,8,1
FDI26,5.94,0,0.061082177,3,180.0344,OUT019,1985,2,0,0,892.172,28,Food,4,1
FDM20,10,0,0.038748011,6,246.9144,OUT018,2009,1,2,2,3185.1872,4,Food,3,1
FDV27,7.97,1,0.040071131,10,87.3514,OUT045,2002,2,1,1,1062.6168,11,Food,7,1
FDF09,6.215,0,0.012090074,6,38.2848,OUT027,1985,1,2,3,484.7024,28,Food,5,1
FDY40,15.5,1,0.15028599,5,51.0692,OUT019,1985,2,0,0,147.8076,28,Food,4,1
FDY45,17.5,0,0.026015519,13,255.8356,OUT027,1985,1,2,3,2543.356,28,Food,5,1
FDC46,17.7,0,0.195068226,13,185.4266,OUT010,1998,2,2,0,184.4266,15,Food,0,1
FDH19,19.35,0,0.033082215,10,172.5738,OUT035,2004,2,1,1,4865.6664,9,Food,6,1
FDZ03,13.65,1,0.078946455,4,186.024,OUT045,2002,2,1,1,1118.544,11,Food,7,1
DRH37,17.6,0,0.041700756,14,164.8526,OUT045,2002,2,1,1,2302.3364,11,Drinks,7,0
NCI17,8.645,0,0.143422643,8,95.841,OUT046,1997,2,0,1,2027.361,16,Non-Consumable,8,2
FDJ58,15.6,1,0.105296072,13,170.1764,OUT046,1997,2,0,1,3435.528,16,Food,8,1
FDL12,15.85,1,0.121531501,0,59.222,OUT013,1987,0,2,1,599.22,26,Food,1,1
FDH35,18.25,0,0.068386192,15,164.7526,OUT045,2002,2,1,1,4604.6728,11,Food,7,1
FDG02,7.855,0,0.011324862,3,189.6188,OUT017,2007,2,1,1,2285.0256,6,Food,2,1
NCZ18,7.825,0,0.186357148,9,254.3698,OUT049,1999,1,0,1,5580.7356,14,Non-Consumable,9,2
FDC29,8.39,1,0.024205661,5,114.0176,OUT046,1997,2,0,1,2290.352,16,Food,8,1
FDQ10,12.85,0,0.033230816,13,172.3422,OUT049,1999,1,0,1,1207.0954,14,Food,9,1
FDN48,13.35,0,0.113720344,0,89.9804,OUT019,1985,2,0,0,643.1628,28,Food,4,1
FDL04,19,0,0.112556507,5,104.9622,OUT017,2007,2,1,1,1587.933,6,Food,2,1
FDV25,5.905,0,0.054276717,3,222.5456,OUT045,2002,2,1,1,5305.0944,11,Food,7,1
FDD58,7.76,0,0.059352241,13,101.87,OUT046,1997,2,0,1,1697.79,16,Food,8,1
FDN04,11.8,1,0.014087057,5,180.3344,OUT046,1997,2,0,1,1427.4752,16,Food,8,1
FDV45,16.75,0,0.045230944,13,187.9556,OUT018,2009,1,2,2,4693.89,4,Food,3,1
NCL18,18.85,0,0.293417759,9,194.6136,OUT019,1985,2,0,0,583.2408,28,Non-Consumable,4,2
FDR12,12.6,1,0.031382044,0,171.3764,OUT027,1985,1,2,3,3091.9752,28,Food,5,1
FDG20,15.5,1,0.12639886,6,177.0028,OUT017,2007,2,1,1,2479.4392,6,Food,2,1
FDZ55,6.055,0,0.025403898,6,160.992,OUT035,2004,2,1,1,2716.464,9,Food,6,1
FDQ49,20.2,1,0.039057677,2,155.963,OUT027,1985,1,2,3,3285.723,28,Food,5,1
FDN33,6.305,1,0.123115764,13,95.6436,OUT046,1997,2,0,1,661.8052,16,Food,8,1
FDN27,20.85,0,0.039624006,10,117.2808,OUT049,1999,1,0,1,1523.3504,14,Food,9,1
FDW20,20.75,0,0.040421193,6,122.173,OUT010,1998,2,2,0,369.519,15,Food,0,1
DRG27,8.895,0,0.105274111,4,39.9138,OUT049,1999,1,0,1,690.4346,14,Drinks,9,0
DRI25,19.6,0,0.033970195,14,55.1614,OUT045,2002,2,1,1,1381.535,11,Drinks,7,0
FDA44,19.7,0,0.053212652,6,57.893,OUT035,2004,2,1,1,622.523,9,Food,6,1
NCR17,9.8,0,0.024378706,8,114.5492,OUT035,2004,2,1,1,1274.3412,9,Non-Consumable,6,2
FDU04,7.93,0,0.009714595,5,120.0414,OUT019,1985,2,0,0,487.3656,28,Food,4,1
FDF41,12.15,0,0.131383762,5,246.046,OUT049,1999,1,0,1,1231.73,14,Food,9,1
FDB56,8.75,1,0.07461309,6,187.4556,OUT035,2004,2,1,1,3755.112,9,Food,6,1
NCP18,12.15,0,0.028459761,9,149.9708,OUT027,1985,1,2,3,4363.6532,28,Non-Consumable,5,2
FDB56,8.75,1,0.074627201,6,187.8556,OUT046,1997,2,0,1,1314.2892,16,Food,8,1
FDT28,13.3,0,0.063695084,5,151.0708,OUT045,2002,2,1,1,1805.6496,11,Food,7,1
FDD10,20.6,1,0.045797829,13,178.5344,OUT027,1985,1,2,3,2854.9504,28,Food,5,1
FDW57,8.31,1,0.115857223,13,179.1028,OUT049,1999,1,0,1,3896.2616,14,Food,9,1
DRB48,16.75,1,0.024832806,14,38.7822,OUT013,1987,0,2,1,667.7974,26,Drinks,1,0
FDP09,19.75,0,0.034027909,13,212.0902,OUT018,2009,1,2,2,3185.853,4,Food,3,1
FDH14,17.1,1,0.0467696,3,141.1838,OUT013,1987,0,2,1,2247.7408,26,Food,1,1
FDA47,10.5,1,0.116576702,0,163.121,OUT013,1987,0,2,1,1794.331,26,Food,1,1
FDG12,6.635,1,0.006336295,0,121.3098,OUT045,2002,2,1,1,2530.7058,11,Food,7,1
DRE60,9.395,0,0.278974075,14,225.372,OUT019,1985,2,0,0,679.116,28,Drinks,4,0
DRK49,14.15,0,0.035913805,14,41.4138,OUT013,1987,0,2,1,812.276,26,Drinks,1,0
FDD03,13.3,0,0.079806266,4,232.53,OUT046,1997,2,0,1,699.09,16,Food,8,1
FDS52,8.89,0,0.005505481,5,102.4016,OUT017,2007,2,1,1,2732.4432,6,Food,2,1
FDW39,6.69,1,0.064625342,10,176.937,OUT019,1985,2,0,0,176.437,28,Food,4,1
FDX34,6.195,0,0.071636937,13,121.7098,OUT027,1985,1,2,3,4097.3332,28,Food,5,1
FDV11,9.1,1,0.100047421,1,173.2054,OUT045,2002,2,1,1,3151.8972,11,Food,7,1
FDD17,7.5,0,0.032677678,5,239.0906,OUT049,1999,1,0,1,5942.265,14,Food,9,1
FDZ16,16.85,1,0.160760054,5,192.4478,OUT017,2007,2,1,1,4843.695,6,Food,2,1
FDZ46,7.485,0,0.06911065,13,109.0228,OUT035,2004,2,1,1,2542.0244,9,Food,6,1
DRA12,11.6,0,0.041177505,14,140.3154,OUT017,2007,2,1,1,2552.6772,6,Drinks,2,0
FDY58,11.65,0,0.040081193,13,227.0694,OUT018,2009,1,2,2,1141.847,4,Food,3,1
NCF19,13,0,0.035307322,9,47.5034,OUT017,2007,2,1,1,680.4476,6,Non-Consumable,2,2
DRJ13,12.65,0,0.063017847,14,159.0578,OUT045,2002,2,1,1,2085.9514,11,Drinks,7,0
FDB14,20.25,1,0.171938781,3,92.512,OUT010,1998,2,2,0,186.424,15,Food,0,1
FDJ38,8.6,1,0.040197932,3,190.153,OUT035,2004,2,1,1,3036.048,9,Food,6,1
FDW11,12.6,0,0.049058014,1,62.7194,OUT017,2007,2,1,1,866.8716,6,Food,2,1
FDL40,17.7,0,0.01161096,5,95.041,OUT035,2004,2,1,1,868.869,9,Food,6,1
DRI49,14.15,0,0.183507295,14,82.4276,OUT046,1997,2,0,1,1137.1864,16,Drinks,8,0
FDV38,19.25,0,0.102349519,4,52.7956,OUT017,2007,2,1,1,928.1252,6,Food,2,1
DRG23,8.88,0,0.086708987,7,151.7682,OUT013,1987,0,2,1,762.341,26,Drinks,1,0
NCP30,20.5,0,0.032835147,9,40.2822,OUT045,2002,2,1,1,707.0796,11,Non-Consumable,7,2
FDY25,12,0,0.033809913,3,180.5976,OUT027,1985,1,2,3,7968.2944,28,Food,5,1
NCH54,13.5,0,0.07266912,9,160.292,OUT046,1997,2,0,1,1438.128,16,Non-Consumable,8,2
NCR53,12.15,0,0.144338493,8,224.4404,OUT027,1985,1,2,3,6976.2524,28,Non-Consumable,5,2
FDS52,8.89,0,0.009163216,5,101.7016,OUT010,1998,2,2,0,101.2016,15,Food,0,1
FDG02,7.855,0,0.011307038,3,188.5188,OUT018,2009,1,2,2,952.094,4,Food,3,1
NCO26,7.235,0,0.076855628,9,116.0492,OUT046,1997,2,0,1,1969.4364,16,Non-Consumable,8,2
FDH35,18.25,0,0.059956876,15,165.4526,OUT027,1985,1,2,3,5262.4832,28,Food,5,1
FDB51,6.92,0,0.038532062,4,60.5852,OUT045,2002,2,1,1,1314.2892,11,Food,7,1
FDX44,9.3,0,0.043209581,6,90.8172,OUT017,2007,2,1,1,535.3032,6,Food,2,1
NCN07,18.5,0,0.056816465,11,132.1284,OUT010,1998,2,2,0,263.6568,15,Non-Consumable,0,2
NCC31,8.02,0,0.019866705,9,154.5972,OUT035,2004,2,1,1,1402.1748,9,Non-Consumable,6,2
NCX54,9.195,0,0.048331717,9,105.1622,OUT017,2007,2,1,1,1693.7952,6,Non-Consumable,2,2
NCO55,12.8,0,0.091221855,11,105.5938,OUT045,2002,2,1,1,2143.876,11,Non-Consumable,7,2
NCC30,16.6,0,0.027622076,9,177.6344,OUT049,1999,1,0,1,2676.516,14,Non-Consumable,9,2
FDI16,14,1,0.15402922,5,53.064,OUT035,2004,2,1,1,905.488,9,Food,6,1
FDP16,18.6,0,0.039355947,5,246.3802,OUT049,1999,1,0,1,7370.406,14,Food,9,1
FDB11,16,0,0.060836524,15,226.8404,OUT035,2004,2,1,1,6301.1312,9,Food,6,1
NCB06,17.6,0,0.082316506,8,160.692,OUT035,2004,2,1,1,1597.92,9,Non-Consumable,6,2
FDA45,21.25,0,0.155350299,13,178.237,OUT035,2004,2,1,1,529.311,9,Food,6,1
NCO26,7.235,0,0.076841095,9,117.5492,OUT035,2004,2,1,1,1969.4364,9,Non-Consumable,6,2
DRJ25,14.6,0,0.151419185,14,50.3692,OUT017,2007,2,1,1,1034.6532,6,Drinks,2,0
FDR28,13.85,1,0.026001976,5,161.521,OUT018,2009,1,2,2,1794.331,4,Food,3,1
FDI04,13.65,1,0.073209447,5,197.6426,OUT018,2009,1,2,2,2768.3964,4,Food,3,1
DRK12,9.5,0,0.041683481,14,31.29,OUT027,1985,1,2,3,898.83,28,Drinks,5,0
FDX20,7.365,0,0.042560252,6,226.172,OUT046,1997,2,0,1,3169.208,16,Food,8,1
NCI18,18.35,0,0.014081156,9,223.5746,OUT018,2009,1,2,2,3589.9936,4,Non-Consumable,3,2
FDB36,5.465,1,0.048544854,0,132.5626,OUT018,2009,1,2,2,262.3252,4,Food,3,1
FDN13,18.6,0,0.152918384,2,99.8358,OUT017,2007,2,1,1,1910.1802,6,Food,2,1
DRD24,13.85,0,0.030969274,14,140.9154,OUT017,2007,2,1,1,1701.7848,6,Drinks,2,0
FDQ28,14,1,0.060376776,5,154.5656,OUT013,1987,0,2,1,2471.4496,26,Food,1,1
FDM22,14,1,0.04192285,13,54.764,OUT013,1987,0,2,1,1331.6,26,Food,1,1
FDR07,21.35,0,0.077367431,6,97.0094,OUT027,1985,1,2,3,1808.9786,28,Food,5,1
FDV25,5.905,0,0.045838211,3,222.5456,OUT018,2009,1,2,2,3315.684,4,Food,3,1
DRF49,7.27,0,0.071077939,14,114.2518,OUT046,1997,2,0,1,2618.5914,16,Drinks,8,0
FDW51,6.155,1,0.094659871,10,214.556,OUT046,1997,2,0,1,2769.728,16,Food,8,1
DRL01,19.5,1,0.077608838,14,233.4958,OUT017,2007,2,1,1,5375.0034,6,Drinks,2,0
FDP25,15.2,0,0.021327477,3,216.8824,OUT017,2007,2,1,1,2838.9712,6,Food,2,1
FDL50,12.15,1,0.042485444,3,125.0046,OUT018,2009,1,2,2,1743.0644,4,Food,3,1
NCB30,14.6,0,0.025578526,9,198.8084,OUT027,1985,1,2,3,5555.4352,28,Non-Consumable,5,2
FDW11,12.6,0,0.0489808,1,61.9194,OUT018,2009,1,2,2,619.194,4,Food,3,1
NCM43,14.5,0,0.019471688,11,164.821,OUT035,2004,2,1,1,2120.573,9,Non-Consumable,6,2
FDK44,16.6,0,0.122918852,6,173.0738,OUT017,2007,2,1,1,3823.0236,6,Food,2,1
FDM15,11.8,1,0.057373797,10,151.4366,OUT013,1987,0,2,1,1360.2294,26,Food,1,1
FDS31,13.1,1,0.044155597,6,178.8318,OUT013,1987,0,2,1,3969.4996,26,Food,1,1
FDI32,17.7,0,0.291865402,6,115.1834,OUT010,1998,2,2,0,345.5502,15,Food,0,1
FDR47,17.85,0,0.087609529,1,196.5794,OUT010,1998,2,2,0,585.2382,15,Food,0,1
FDB35,12.3,1,0.064750025,15,92.6804,OUT045,2002,2,1,1,1010.6844,11,Food,7,1
NCU05,11.8,0,0.098312421,8,81.4618,OUT010,1998,2,2,0,161.1236,15,Non-Consumable,0,2
DRY23,9.395,1,0.191013663,14,42.1112,OUT019,1985,2,0,0,42.6112,28,Drinks,4,0
FDO24,11.1,0,0.176573035,0,157.4604,OUT045,2002,2,1,1,3010.7476,11,Food,7,1
FDQ28,14,1,0.060134441,5,153.0656,OUT027,1985,1,2,3,6024.1584,28,Food,5,1
FDV39,11.3,0,0.007294652,10,198.1426,OUT045,2002,2,1,1,988.713,11,Food,7,1
NCO17,10,0,0.128478462,8,117.944,OUT019,1985,2,0,0,239.688,28,Non-Consumable,4,2
FDU50,5.75,1,0.075107656,4,112.8176,OUT013,1987,0,2,1,1374.2112,26,Food,1,1
FDT12,6.215,1,0.049381406,0,226.8062,OUT027,1985,1,2,3,4739.8302,28,Food,5,1
FDK58,11.35,1,0.045165796,13,100.0016,OUT018,2009,1,2,2,1012.016,4,Food,3,1
FDO08,11.1,1,0.09415375,6,165.7526,OUT019,1985,2,0,0,657.8104,28,Food,4,1
NCW29,14,0,0.028907832,8,130.431,OUT049,1999,1,0,1,778.986,14,Non-Consumable,9,2
FDE04,19.75,1,0.018059621,5,179.766,OUT045,2002,2,1,1,2336.958,11,Food,7,1
NCB19,6.525,0,0.090436094,9,85.0882,OUT049,1999,1,0,1,2233.0932,14,Non-Consumable,9,2
FDV15,10.3,0,0.146399712,10,103.9648,OUT049,1999,1,0,1,1661.8368,14,Food,9,1
FDL58,5.78,1,0.074264356,13,264.7568,OUT049,1999,1,0,1,4745.8224,14,Food,9,1
FDA08,11.85,1,0.050186726,6,164.1526,OUT045,2002,2,1,1,3124.5994,11,Food,7,1
FDT43,16.35,0,0.020631654,6,50.1324,OUT018,2009,1,2,2,467.3916,4,Food,3,1
NCX06,17.6,0,0.01561108,9,182.5976,OUT027,1985,1,2,3,5070.7328,28,Non-Consumable,5,2
FDT20,10.5,0,0.041395445,6,37.6164,OUT046,1997,2,0,1,540.6296,16,Food,8,1
FDB41,19,1,0.097313129,5,48.0718,OUT046,1997,2,0,1,992.7078,16,Food,8,1
NCN55,14.6,0,0.059582996,11,238.8538,OUT049,1999,1,0,1,6008.845,14,Non-Consumable,9,2
FDE40,15.6,1,0.098663652,4,62.9194,OUT027,1985,1,2,3,2105.2596,28,Food,5,1
FDX49,4.615,1,0.101338651,3,232.63,OUT027,1985,1,2,3,5359.69,28,Food,5,1
NCM53,18.75,0,0.052146456,8,104.628,OUT045,2002,2,1,1,745.696,11,Non-Consumable,7,2
FDE36,5.26,1,0.041764487,0,161.8868,OUT035,2004,2,1,1,3275.736,9,Food,6,1
FDN57,18.25,0,0.054344186,13,140.2154,OUT045,2002,2,1,1,1701.7848,11,Food,7,1
FDI24,10.3,0,0.078362484,0,177.937,OUT027,1985,1,2,3,6704.606,28,Food,5,1
FDI19,15.1,0,0.052339069,10,242.7512,OUT046,1997,2,0,1,4119.9704,16,Food,8,1
FDF24,15.5,1,0.042464962,0,81.5934,OUT010,1998,2,2,0,327.5736,15,Food,0,1
FDG52,13.65,0,0.065732883,5,45.7402,OUT049,1999,1,0,1,780.9834,14,Food,9,1
DRF36,16.1,0,0.023625114,14,189.3846,OUT045,2002,2,1,1,3630.6074,11,Drinks,7,0
FDS45,5.175,1,0.051643608,13,107.3622,OUT019,1985,2,0,0,317.5866,28,Food,4,1
FDX40,12.85,0,0.165694219,5,39.7164,OUT010,1998,2,2,0,231.6984,15,Food,0,1
DRK12,9.5,0,0.041878397,14,32.99,OUT035,2004,2,1,1,133.16,9,Drinks,6,0
DRC27,13.8,0,0.058091482,4,245.1802,OUT035,2004,2,1,1,5650.6446,9,Drinks,6,0
FDL58,5.78,1,0.081356682,13,263.7568,OUT017,2007,2,1,1,2636.568,6,Food,2,1
NCD30,19.7,0,0.026903714,9,96.0726,OUT045,2002,2,1,1,1272.3438,11,Non-Consumable,7,2
NCZ54,14.65,0,0.093830507,9,161.5552,OUT010,1998,2,2,0,324.9104,15,Non-Consumable,0,2
FDE10,6.67,1,0.150554711,13,130.0626,OUT010,1998,2,2,0,131.1626,15,Food,0,1
FDR44,6.11,1,0.103042643,6,131.2968,OUT010,1998,2,2,0,260.9936,15,Food,0,1
FDP28,13.65,1,0.134975628,5,260.0936,OUT010,1998,2,2,0,260.9936,15,Food,0,1
FDX15,17.2,0,0.15616879,10,160.6578,OUT013,1987,0,2,1,3690.5294,26,Food,1,1
FDA39,6.32,0,0.013952322,10,40.2822,OUT035,2004,2,1,1,1139.1838,9,Food,6,1
FDY24,4.88,1,0.133700752,0,52.9298,OUT049,1999,1,0,1,1995.4026,14,Food,9,1
FDC60,5.425,1,0.115119905,0,88.3514,OUT017,2007,2,1,1,1416.8224,6,Food,2,1
FDH28,15.85,1,0.110030997,5,37.2506,OUT046,1997,2,0,1,265.6542,16,Food,8,1
FDT25,7.5,0,0.051038045,3,121.7072,OUT017,2007,2,1,1,3552.7088,6,Food,2,1
DRJ13,12.65,0,0.062837968,14,161.5578,OUT013,1987,0,2,1,2406.867,26,Drinks,1,0
NCO07,9.06,0,0.017116983,11,211.956,OUT019,1985,2,0,0,213.056,28,Non-Consumable,4,2
FDW20,20.75,0,0.024129332,6,124.173,OUT013,1987,0,2,1,2956.152,26,Food,1,1
DRF27,8.93,0,0.049754975,4,152.134,OUT019,1985,2,0,0,153.134,28,Drinks,4,0
FDS49,9,0,0.079562248,3,79.7644,OUT035,2004,2,1,1,1649.8524,9,Food,6,1
FDX25,16.7,0,0.101561568,3,181.9292,OUT027,1985,1,2,3,3101.2964,28,Food,5,1
NCX42,6.36,0,0.005949644,9,165.6526,OUT027,1985,1,2,3,4769.1254,28,Non-Consumable,5,2
FDG33,5.365,1,0.13956116,12,170.4764,OUT027,1985,1,2,3,3435.528,28,Food,5,1
FDL56,14.1,0,0.126035694,6,86.4198,OUT045,2002,2,1,1,1133.8574,11,Food,7,1
FDF14,7.55,0,0.027164679,3,152.334,OUT035,2004,2,1,1,2603.278,9,Food,6,1
NCD06,13,0,0.099325278,9,45.406,OUT046,1997,2,0,1,605.878,16,Non-Consumable,8,2
DRM47,9.3,0,0.04357366,7,192.8846,OUT027,1985,1,2,3,2293.0152,28,Drinks,5,0
FDS46,17.6,1,0.082741482,13,118.7782,OUT019,1985,2,0,0,119.1782,28,Food,4,1
FDB35,12.3,1,0.064565202,15,92.9804,OUT013,1987,0,2,1,1929.4884,26,Food,1,1
FDX21,7.05,0,0.084554569,13,109.8912,OUT027,1985,1,2,3,2074.6328,28,Food,5,1
NCU05,11.8,0,0.058451805,8,79.9618,OUT027,1985,1,2,3,241.6854,28,Non-Consumable,5,2
NCR38,17.25,0,0.113748685,9,251.3724,OUT045,2002,2,1,1,6795.1548,11,Non-Consumable,7,2
NCR18,15.85,0,0.020603511,9,42.7112,OUT017,2007,2,1,1,639.168,6,Non-Consumable,2,2
NCU41,18.85,0,0.052044976,8,192.1846,OUT035,2004,2,1,1,3248.4382,9,Non-Consumable,6,2
FDY56,16.35,1,0.062764429,6,227.6062,OUT017,2007,2,1,1,7222.5984,6,Food,2,1
DRJ51,14.1,0,0.087977262,4,229.0668,OUT035,2004,2,1,1,3225.1352,9,Drinks,6,0
FDK21,7.905,0,0.010010425,13,249.0408,OUT035,2004,2,1,1,3755.112,9,Food,6,1
FDY25,12,0,0.033946163,3,179.3976,OUT013,1987,0,2,1,3440.8544,26,Food,1,1
FDU44,12.15,1,0.058414678,6,163.4552,OUT035,2004,2,1,1,974.7312,9,Food,6,1
FDL43,10.1,0,0.027106459,10,75.367,OUT049,1999,1,0,1,535.969,14,Food,9,1
FDF05,17.5,0,0.027022883,5,262.491,OUT017,2007,2,1,1,5259.82,6,Food,2,1
DRF15,18.35,0,0.058153409,4,152.034,OUT019,1985,2,0,0,306.268,28,Drinks,4,0
FDL20,17.1,0,0.128937661,6,112.3886,OUT018,2009,1,2,2,1779.0176,4,Food,3,1
FDV32,7.785,0,0.088846306,6,61.451,OUT049,1999,1,0,1,759.012,14,Food,9,1
FDJ34,11.8,1,0.09357779,13,125.9704,OUT013,1987,0,2,1,1877.556,26,Food,1,1
FDG08,13.15,1,0.165694678,6,171.8764,OUT045,2002,2,1,1,3779.0808,11,Food,7,1
FDQ04,6.4,0,0.148392623,5,41.5796,OUT019,1985,2,0,0,41.2796,28,Food,4,1
FDW13,8.5,0,0.098438394,3,51.1324,OUT017,2007,2,1,1,259.662,6,Food,2,1
NCI17,8.645,0,0.143303291,8,96.341,OUT013,1987,0,2,1,193.082,26,Non-Consumable,1,2
